List,dec
text+button,11.1%
popup_with_access,76.7%
text_only,3.3%
open_with,80.0%
text_empty,20.0%
share_with,80.8%
list+on_off,91.4%
advertisement+button,85.0%
image_list,26.7%
popup_date,0.0%
movie,23.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,5.0%
camera,20.0%
picture,0.0%
popup,3.3%
navigation_menu,8.9%
input_form,10.0%
select_dialog,0.0%
calendar,0.0%
text_image,6.7%
continue_button,21.4%
theme,95.5%
homescreen,0.0%
Total,29.8%
