List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,6.7%
open_with,2.2%
text_empty,23.3%
share_with,40.4%
list+on_off,91.4%
advertisement+button,57.5%
image_list,66.7%
popup_date,0.0%
movie,13.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,0.0%
translate,92.0%
image_view,7.5%
location_selection,60.0%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,3.3%
popup_with_continue_as_name,65.7%
list,30.0%
camera,32.5%
picture,26.7%
popup,3.3%
navigation_menu,2.2%
input_form,3.3%
select_dialog,60.0%
calendar,0.0%
text_image,6.7%
continue_button,9.5%
theme,0.0%
homescreen,0.0%
Total,27.3%
