List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,13.3%
open_with,24.4%
text_empty,3.3%
share_with,94.2%
list+on_off,91.4%
advertisement+button,7.5%
image_list,2.2%
popup_date,33.3%
movie,20.0%
menu_list,8.6%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,20.0%
location_selection,16.7%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,73.3%
popup_with_continue_as_name,2.9%
list,5.0%
camera,2.5%
picture,0.0%
popup,10.0%
navigation_menu,2.2%
input_form,10.0%
select_dialog,13.3%
calendar,63.3%
text_image,3.3%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,23.6%
