List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,13.3%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,48.6%
advertisement+button,85.0%
image_list,0.0%
popup_date,0.0%
movie,63.3%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,0.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,75.0%
camera,0.0%
picture,6.7%
popup,13.3%
navigation_menu,8.9%
input_form,3.3%
select_dialog,50.0%
calendar,66.7%
text_image,0.0%
continue_button,2.4%
theme,95.5%
homescreen,0.0%
Total,30.0%
