List,dec
text+button,16.7%
popup_with_access,0.0%
text_only,26.7%
open_with,35.6%
text_empty,16.7%
share_with,80.8%
list+on_off,94.3%
advertisement+button,45.0%
image_list,66.7%
popup_date,16.7%
movie,36.7%
menu_list,2.9%
translate_with_sound,0.0%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,6.7%
popup_with_continue_as_name,80.0%
list,52.5%
camera,57.5%
picture,6.7%
popup,26.7%
navigation_menu,55.6%
input_form,6.7%
select_dialog,3.3%
calendar,56.7%
text_image,0.0%
continue_button,9.5%
theme,18.2%
homescreen,0.0%
Total,34.3%
