List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,10.0%
open_with,2.2%
text_empty,20.0%
share_with,94.2%
list+on_off,91.4%
advertisement+button,87.5%
image_list,64.4%
popup_date,0.0%
movie,6.7%
menu_list,5.7%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,12.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,28.6%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,25.0%
camera,0.0%
picture,0.0%
popup,6.7%
navigation_menu,6.7%
input_form,6.7%
select_dialog,26.7%
calendar,6.7%
text_image,3.3%
continue_button,7.1%
theme,0.0%
homescreen,20.0%
Total,24.1%
