List,dec
text+button,11.1%
popup_with_access,76.7%
text_only,3.3%
open_with,57.8%
text_empty,26.7%
share_with,1.9%
list+on_off,94.3%
advertisement+button,85.0%
image_list,66.7%
popup_date,16.7%
movie,63.3%
menu_list,80.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,25.0%
popup_with_full_screen,5.7%
pinpoint_location,3.3%
popup_with_continue_as_name,2.9%
list,45.0%
camera,2.5%
picture,40.0%
popup,16.7%
navigation_menu,4.4%
input_form,6.7%
select_dialog,16.7%
calendar,16.7%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,28.4%
