List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,13.3%
open_with,2.2%
text_empty,23.3%
share_with,94.2%
list+on_off,31.4%
advertisement+button,30.0%
image_list,20.0%
popup_date,0.0%
movie,3.3%
menu_list,0.0%
translate_with_sound,0.0%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,3.3%
popup_with_continue_as_name,82.9%
list,15.0%
camera,2.5%
picture,6.7%
popup,6.7%
navigation_menu,20.0%
input_form,13.3%
select_dialog,0.0%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,21.1%
