List,dec
text+button,16.7%
popup_with_access,0.0%
text_only,3.3%
open_with,55.6%
text_empty,23.3%
share_with,94.2%
list+on_off,91.4%
advertisement+button,57.5%
image_list,2.2%
popup_date,0.0%
movie,30.0%
menu_list,2.9%
translate_with_sound,5.9%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,16.7%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,65.7%
list,30.0%
camera,12.5%
picture,0.0%
popup,3.3%
navigation_menu,11.1%
input_form,3.3%
select_dialog,60.0%
calendar,0.0%
text_image,6.7%
continue_button,4.8%
theme,0.0%
homescreen,20.0%
Total,28.7%
