List,dec
text+button,11.1%
popup_with_access,3.3%
text_only,26.7%
open_with,35.6%
text_empty,26.7%
share_with,80.8%
list+on_off,94.3%
advertisement+button,45.0%
image_list,2.2%
popup_date,0.0%
movie,36.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,13.3%
translate,92.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,17.1%
pinpoint_location,0.0%
popup_with_continue_as_name,82.9%
list,0.0%
camera,0.0%
picture,6.7%
popup,6.7%
navigation_menu,24.4%
input_form,6.7%
select_dialog,13.3%
calendar,20.0%
text_image,13.3%
continue_button,2.4%
theme,0.0%
homescreen,40.0%
Total,27.4%
