List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,53.3%
open_with,53.3%
text_empty,3.3%
share_with,76.9%
list+on_off,71.4%
advertisement+button,0.0%
image_list,64.4%
popup_date,50.0%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,20.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,11.4%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,2.5%
camera,57.5%
picture,6.7%
popup,3.3%
navigation_menu,6.7%
input_form,3.3%
select_dialog,53.3%
calendar,13.3%
text_image,13.3%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,36.4%
