List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,23.3%
open_with,46.7%
text_empty,3.3%
share_with,76.9%
list+on_off,94.3%
advertisement+button,0.0%
image_list,64.4%
popup_date,66.7%
movie,60.0%
menu_list,40.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,32.5%
location_selection,6.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,2.5%
camera,57.5%
picture,0.0%
popup,3.3%
navigation_menu,24.4%
input_form,0.0%
select_dialog,53.3%
calendar,0.0%
text_image,3.3%
continue_button,7.1%
theme,18.2%
homescreen,0.0%
Total,31.8%
