List,dec
text+button,0.0%
popup_with_access,0.0%
text_only,6.7%
open_with,0.0%
text_empty,53.3%
share_with,42.3%
list+on_off,88.6%
advertisement+button,42.5%
image_list,2.2%
popup_date,33.3%
movie,6.7%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,33.3%
translate,0.0%
image_view,0.0%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,0.0%
pinpoint_location,3.3%
popup_with_continue_as_name,74.3%
list,77.5%
camera,45.0%
picture,0.0%
popup,0.0%
navigation_menu,2.2%
input_form,0.0%
select_dialog,13.3%
calendar,3.3%
text_image,0.0%
continue_button,0.0%
theme,0.0%
homescreen,0.0%
Total,20.9%
