List,dec
text+button,5.6%
popup_with_access,83.3%
text_only,3.3%
open_with,80.0%
text_empty,30.0%
share_with,1.9%
list+on_off,94.3%
advertisement+button,75.0%
image_list,55.6%
popup_date,16.7%
movie,20.0%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,4.0%
image_view,5.0%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,62.5%
camera,92.5%
picture,0.0%
popup,16.7%
navigation_menu,35.6%
input_form,0.0%
select_dialog,23.3%
calendar,76.7%
text_image,10.0%
continue_button,4.8%
theme,18.2%
homescreen,0.0%
Total,33.2%
