List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,10.0%
open_with,0.0%
text_empty,10.0%
share_with,94.2%
list+on_off,0.0%
advertisement+button,85.0%
image_list,17.8%
popup_date,0.0%
movie,26.7%
menu_list,80.0%
translate_with_sound,0.0%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,25.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,22.5%
camera,2.5%
picture,40.0%
popup,3.3%
navigation_menu,2.2%
input_form,3.3%
select_dialog,0.0%
calendar,0.0%
text_image,16.7%
continue_button,4.8%
theme,18.2%
homescreen,0.0%
Total,22.1%
