List,dec
text+button,11.1%
popup_with_access,76.7%
text_only,36.7%
open_with,17.8%
text_empty,3.3%
share_with,94.2%
list+on_off,91.4%
advertisement+button,85.0%
image_list,2.2%
popup_date,0.0%
movie,6.7%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,0.0%
translate,92.0%
image_view,15.0%
location_selection,16.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,73.3%
popup_with_continue_as_name,77.1%
list,22.5%
camera,0.0%
picture,0.0%
popup,10.0%
navigation_menu,2.2%
input_form,3.3%
select_dialog,23.3%
calendar,66.7%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,29.4%
