List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,40.0%
open_with,0.0%
text_empty,6.7%
share_with,94.2%
list+on_off,94.3%
advertisement+button,85.0%
image_list,17.8%
popup_date,16.7%
movie,30.0%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,11.4%
pinpoint_location,73.3%
popup_with_continue_as_name,2.9%
list,0.0%
camera,2.5%
picture,53.3%
popup,6.7%
navigation_menu,15.6%
input_form,33.3%
select_dialog,56.7%
calendar,90.0%
text_image,30.0%
continue_button,4.8%
theme,18.2%
homescreen,0.0%
Total,31.5%
