List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,10.0%
open_with,80.0%
text_empty,20.0%
share_with,80.8%
list+on_off,91.4%
advertisement+button,85.0%
image_list,26.7%
popup_date,33.3%
movie,40.0%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,10.0%
location_selection,76.7%
continue_as_name,25.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,10.0%
camera,20.0%
picture,0.0%
popup,3.3%
navigation_menu,6.7%
input_form,3.3%
select_dialog,0.0%
calendar,0.0%
text_image,6.7%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,30.7%
