List,dec
text+button,16.7%
popup_with_access,80.0%
text_only,10.0%
open_with,0.0%
text_empty,16.7%
share_with,94.2%
list+on_off,71.4%
advertisement+button,60.0%
image_list,64.4%
popup_date,0.0%
movie,60.0%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,17.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,25.7%
pinpoint_location,6.7%
popup_with_continue_as_name,74.3%
list,27.5%
camera,32.5%
picture,0.0%
popup,3.3%
navigation_menu,4.4%
input_form,3.3%
select_dialog,53.3%
calendar,0.0%
text_image,6.7%
continue_button,0.0%
theme,0.0%
homescreen,0.0%
Total,32.5%
