List,dec
text+button,16.7%
popup_with_access,6.7%
text_only,23.3%
open_with,0.0%
text_empty,10.0%
share_with,94.2%
list+on_off,65.7%
advertisement+button,25.0%
image_list,2.2%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,17.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,22.5%
camera,0.0%
picture,0.0%
popup,16.7%
navigation_menu,4.4%
input_form,20.0%
select_dialog,3.3%
calendar,90.0%
text_image,3.3%
continue_button,9.5%
theme,0.0%
homescreen,20.0%
Total,26.7%
