List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,3.3%
open_with,53.3%
text_empty,16.7%
share_with,76.9%
list+on_off,71.4%
advertisement+button,0.0%
image_list,64.4%
popup_date,0.0%
movie,0.0%
menu_list,2.9%
translate_with_sound,58.8%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,20.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,2.5%
camera,40.0%
picture,46.7%
popup,50.0%
navigation_menu,17.8%
input_form,3.3%
select_dialog,13.3%
calendar,6.7%
text_image,13.3%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,33.1%
