List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,3.3%
open_with,57.8%
text_empty,26.7%
share_with,94.2%
list+on_off,94.3%
advertisement+button,85.0%
image_list,4.4%
popup_date,33.3%
movie,3.3%
menu_list,0.0%
translate_with_sound,0.0%
IME,20.0%
dialer,13.3%
translate,92.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,2.9%
list,45.0%
camera,2.5%
picture,0.0%
popup,3.3%
navigation_menu,8.9%
input_form,33.3%
select_dialog,16.7%
calendar,50.0%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,29.0%
