List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,10.0%
open_with,0.0%
text_empty,3.3%
share_with,94.2%
list+on_off,31.4%
advertisement+button,30.0%
image_list,64.4%
popup_date,0.0%
movie,6.7%
menu_list,0.0%
translate_with_sound,0.0%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,15.0%
camera,90.0%
picture,6.7%
popup,3.3%
navigation_menu,4.4%
input_form,13.3%
select_dialog,0.0%
calendar,96.7%
text_image,13.3%
continue_button,2.4%
theme,0.0%
homescreen,20.0%
Total,25.1%
