List,dec
text+button,16.7%
popup_with_access,0.0%
text_only,13.3%
open_with,82.2%
text_empty,10.0%
share_with,1.9%
list+on_off,71.4%
advertisement+button,60.0%
image_list,66.7%
popup_date,16.7%
movie,60.0%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,0.0%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,74.3%
list,32.5%
camera,0.0%
picture,53.3%
popup,16.7%
navigation_menu,11.1%
input_form,6.7%
select_dialog,56.7%
calendar,90.0%
text_image,16.7%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,34.2%
