List,dec
text+button,16.7%
popup_with_access,80.0%
text_only,20.0%
open_with,2.2%
text_empty,16.7%
share_with,94.2%
list+on_off,94.3%
advertisement+button,85.0%
image_list,2.2%
popup_date,66.7%
movie,30.0%
menu_list,80.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,11.4%
pinpoint_location,76.7%
popup_with_continue_as_name,5.7%
list,0.0%
camera,12.5%
picture,53.3%
popup,3.3%
navigation_menu,15.6%
input_form,33.3%
select_dialog,6.7%
calendar,0.0%
text_image,30.0%
continue_button,9.5%
theme,0.0%
homescreen,20.0%
Total,30.6%
