List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,23.3%
open_with,24.4%
text_empty,0.0%
share_with,84.6%
list+on_off,2.9%
advertisement+button,90.0%
image_list,15.6%
popup_date,16.7%
movie,10.0%
menu_list,0.0%
translate_with_sound,100.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,17.5%
camera,2.5%
picture,6.7%
popup,6.7%
navigation_menu,11.1%
input_form,0.0%
select_dialog,73.3%
calendar,0.0%
text_image,13.3%
continue_button,2.4%
theme,4.5%
homescreen,20.0%
Total,23.3%
