List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,63.3%
open_with,51.1%
text_empty,3.3%
share_with,76.9%
list+on_off,71.4%
advertisement+button,17.5%
image_list,64.4%
popup_date,66.7%
movie,3.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,2.5%
camera,57.5%
picture,53.3%
popup,16.7%
navigation_menu,2.2%
input_form,6.7%
select_dialog,26.7%
calendar,0.0%
text_image,3.3%
continue_button,9.5%
theme,4.5%
homescreen,0.0%
Total,33.0%
