List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,13.3%
open_with,2.2%
text_empty,33.3%
share_with,94.2%
list+on_off,20.0%
advertisement+button,85.0%
image_list,2.2%
popup_date,0.0%
movie,6.7%
menu_list,2.9%
translate_with_sound,5.9%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,77.1%
list,2.5%
camera,0.0%
picture,53.3%
popup,3.3%
navigation_menu,0.0%
input_form,33.3%
select_dialog,50.0%
calendar,6.7%
text_image,13.3%
continue_button,4.8%
theme,95.5%
homescreen,0.0%
Total,30.3%
