List,dec
text+button,22.2%
popup_with_access,53.3%
text_only,3.3%
open_with,57.8%
text_empty,3.3%
share_with,1.9%
list+on_off,94.3%
advertisement+button,85.0%
image_list,66.7%
popup_date,33.3%
movie,6.7%
menu_list,80.0%
translate_with_sound,0.0%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,0.0%
continue_as_name,25.0%
popup_with_full_screen,8.6%
pinpoint_location,3.3%
popup_with_continue_as_name,5.7%
list,45.0%
camera,57.5%
picture,0.0%
popup,16.7%
navigation_menu,2.2%
input_form,6.7%
select_dialog,16.7%
calendar,0.0%
text_image,3.3%
continue_button,0.0%
theme,18.2%
homescreen,0.0%
Total,27.4%
