List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,3.3%
open_with,2.2%
text_empty,6.7%
share_with,94.2%
list+on_off,91.4%
advertisement+button,32.5%
image_list,66.7%
popup_date,0.0%
movie,33.3%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,20.0%
translate,96.0%
image_view,12.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,0.0%
pinpoint_location,3.3%
popup_with_continue_as_name,77.1%
list,17.5%
camera,57.5%
picture,20.0%
popup,13.3%
navigation_menu,28.9%
input_form,0.0%
select_dialog,13.3%
calendar,0.0%
text_image,10.0%
continue_button,7.1%
theme,18.2%
homescreen,20.0%
Total,29.4%
