List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,23.3%
open_with,33.3%
text_empty,3.3%
share_with,63.5%
list+on_off,94.3%
advertisement+button,12.5%
image_list,60.0%
popup_date,0.0%
movie,6.7%
menu_list,80.0%
translate_with_sound,0.0%
IME,0.0%
dialer,40.0%
translate,92.0%
image_view,2.5%
location_selection,23.3%
continue_as_name,75.0%
popup_with_full_screen,17.1%
pinpoint_location,66.7%
popup_with_continue_as_name,54.3%
list,5.0%
camera,45.0%
picture,13.3%
popup,20.0%
navigation_menu,17.8%
input_form,3.3%
select_dialog,0.0%
calendar,0.0%
text_image,3.3%
continue_button,2.4%
theme,4.5%
homescreen,0.0%
Total,30.4%
