List,dec
text+button,0.0%
popup_with_access,86.7%
text_only,10.0%
open_with,77.8%
text_empty,3.3%
share_with,80.8%
list+on_off,94.3%
advertisement+button,85.0%
image_list,64.4%
popup_date,0.0%
movie,20.0%
menu_list,0.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,0.0%
image_view,5.0%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,0.0%
pinpoint_location,0.0%
popup_with_continue_as_name,0.0%
list,0.0%
camera,37.5%
picture,0.0%
popup,3.3%
navigation_menu,0.0%
input_form,0.0%
select_dialog,3.3%
calendar,0.0%
text_image,16.7%
continue_button,0.0%
theme,0.0%
homescreen,0.0%
Total,24.1%
