List,dec
text+button,5.6%
popup_with_access,83.3%
text_only,3.3%
open_with,80.0%
text_empty,23.3%
share_with,1.9%
list+on_off,94.3%
advertisement+button,75.0%
image_list,33.3%
popup_date,0.0%
movie,20.0%
menu_list,34.3%
translate_with_sound,70.6%
IME,10.0%
dialer,13.3%
translate,4.0%
image_view,22.5%
location_selection,6.7%
continue_as_name,75.0%
popup_with_full_screen,11.4%
pinpoint_location,0.0%
popup_with_continue_as_name,77.1%
list,2.5%
camera,92.5%
picture,0.0%
popup,16.7%
navigation_menu,2.2%
input_form,3.3%
select_dialog,23.3%
calendar,80.0%
text_image,10.0%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,31.5%
