List,dec
text+button,16.7%
popup_with_access,80.0%
text_only,6.7%
open_with,2.2%
text_empty,6.7%
share_with,84.6%
list+on_off,94.3%
advertisement+button,15.0%
image_list,35.6%
popup_date,16.7%
movie,53.3%
menu_list,2.9%
translate_with_sound,100.0%
IME,20.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,42.5%
camera,90.0%
picture,40.0%
popup,6.7%
navigation_menu,62.2%
input_form,3.3%
select_dialog,3.3%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,95.5%
homescreen,20.0%
Total,36.7%
