List,dec
c12,10.0%
c13,5.7%
c18,3.3%
c21,2.6%
c6,60.0%
c3,6.7%
c1,3.3%
c23,7.9%
c5,17.5%
c17,26.7%
c11,2.2%
c2,60.0%
c7,100.0%
c16,3.3%
c15,90.0%
c10,0.0%
c20,34.2%
c14,2.2%
c9,0.0%
c19,70.6%
c22,73.0%
c8,0.0%
c4,0.0%
Total,26.3%
