List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,53.3%
open_with,53.3%
text_empty,10.0%
share_with,76.9%
list+on_off,2.9%
advertisement+button,65.0%
image_list,22.2%
popup_date,16.7%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,20.0%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,0.0%
camera,57.5%
picture,53.3%
popup,40.0%
navigation_menu,4.4%
input_form,3.3%
select_dialog,26.7%
calendar,0.0%
text_image,10.0%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,30.9%
