List,dec
text+button,5.6%
popup_with_access,76.7%
text_only,0.0%
open_with,57.8%
text_empty,26.7%
share_with,1.9%
list+on_off,94.3%
advertisement+button,85.0%
image_list,66.7%
popup_date,33.3%
movie,3.3%
menu_list,80.0%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,25.0%
camera,57.5%
picture,0.0%
popup,3.3%
navigation_menu,4.4%
input_form,33.3%
select_dialog,6.7%
calendar,0.0%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,28.9%
