List,dec
text+button,0.0%
popup_with_access,80.0%
text_only,3.3%
open_with,53.3%
text_empty,16.7%
share_with,76.9%
list+on_off,2.9%
advertisement+button,67.5%
image_list,22.2%
popup_date,0.0%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,0.0%
image_view,17.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,15.0%
camera,0.0%
picture,53.3%
popup,46.7%
navigation_menu,4.4%
input_form,3.3%
select_dialog,0.0%
calendar,0.0%
text_image,13.3%
continue_button,9.5%
theme,0.0%
homescreen,0.0%
Total,28.8%
