List,dec
c12,10.0%
c13,91.4%
c18,6.7%
c21,7.9%
c6,97.1%
c3,6.7%
c1,93.3%
c23,31.6%
c5,22.5%
c17,13.3%
c11,73.3%
c2,2.5%
c7,0.0%
c16,6.7%
c15,0.0%
c10,20.0%
c20,2.6%
c14,2.2%
c9,0.0%
c19,100.0%
c22,97.3%
c8,3.3%
c4,0.0%
Total,31.6%
