List,dec
text+button,11.1%
popup_with_access,6.7%
text_only,70.0%
open_with,2.2%
text_empty,3.3%
share_with,94.2%
list+on_off,31.4%
advertisement+button,2.5%
image_list,82.2%
popup_date,0.0%
movie,6.7%
menu_list,0.0%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,17.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,11.4%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,10.0%
camera,0.0%
picture,0.0%
popup,3.3%
navigation_menu,6.7%
input_form,3.3%
select_dialog,50.0%
calendar,6.7%
text_image,3.3%
continue_button,9.5%
theme,0.0%
homescreen,20.0%
Total,24.6%
