List,dec
text+button,11.1%
popup_with_access,0.0%
text_only,6.7%
open_with,2.2%
text_empty,3.3%
share_with,94.2%
list+on_off,2.9%
advertisement+button,60.0%
image_list,2.2%
popup_date,16.7%
movie,6.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,6.7%
translate,92.0%
image_view,17.5%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,68.6%
list,40.0%
camera,0.0%
picture,53.3%
popup,16.7%
navigation_menu,8.9%
input_form,3.3%
select_dialog,56.7%
calendar,90.0%
text_image,6.7%
continue_button,11.9%
theme,0.0%
homescreen,20.0%
Total,30.8%
