List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,3.3%
open_with,55.6%
text_empty,23.3%
share_with,67.3%
list+on_off,91.4%
advertisement+button,57.5%
image_list,66.7%
popup_date,16.7%
movie,6.7%
menu_list,51.4%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,60.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,65.7%
list,30.0%
camera,2.5%
picture,6.7%
popup,0.0%
navigation_menu,0.0%
input_form,3.3%
select_dialog,60.0%
calendar,0.0%
text_image,6.7%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,31.1%
