List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,3.3%
open_with,35.6%
text_empty,16.7%
share_with,80.8%
list+on_off,94.3%
advertisement+button,42.5%
image_list,66.7%
popup_date,33.3%
movie,36.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,13.3%
translate,92.0%
image_view,10.0%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,5.7%
pinpoint_location,6.7%
popup_with_continue_as_name,0.0%
list,52.5%
camera,0.0%
picture,6.7%
popup,0.0%
navigation_menu,24.4%
input_form,10.0%
select_dialog,76.7%
calendar,0.0%
text_image,13.3%
continue_button,2.4%
theme,77.3%
homescreen,40.0%
Total,33.6%
