List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,66.7%
open_with,17.8%
text_empty,6.7%
share_with,76.9%
list+on_off,74.3%
advertisement+button,15.0%
image_list,22.2%
popup_date,0.0%
movie,3.3%
menu_list,2.9%
translate_with_sound,100.0%
IME,0.0%
dialer,6.7%
translate,4.0%
image_view,22.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,2.5%
camera,57.5%
picture,53.3%
popup,43.3%
navigation_menu,4.4%
input_form,6.7%
select_dialog,0.0%
calendar,3.3%
text_image,6.7%
continue_button,2.4%
theme,4.5%
homescreen,0.0%
Total,27.4%
