List,dec
text+button,11.1%
popup_with_access,76.7%
text_only,36.7%
open_with,24.4%
text_empty,6.7%
share_with,94.2%
list+on_off,91.4%
advertisement+button,85.0%
image_list,2.2%
popup_date,0.0%
movie,6.7%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,20.0%
translate,92.0%
image_view,15.0%
location_selection,60.0%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,0.0%
popup_with_continue_as_name,2.9%
list,15.0%
camera,32.5%
picture,0.0%
popup,26.7%
navigation_menu,4.4%
input_form,3.3%
select_dialog,23.3%
calendar,3.3%
text_image,6.7%
continue_button,4.8%
theme,18.2%
homescreen,0.0%
Total,27.5%
