List,dec
text+button,5.6%
popup_with_access,3.3%
text_only,13.3%
open_with,24.4%
text_empty,43.3%
share_with,84.6%
list+on_off,0.0%
advertisement+button,15.0%
image_list,13.3%
popup_date,0.0%
movie,6.7%
menu_list,2.9%
translate_with_sound,100.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,11.4%
pinpoint_location,0.0%
popup_with_continue_as_name,80.0%
list,37.5%
camera,87.5%
picture,6.7%
popup,36.7%
navigation_menu,20.0%
input_form,13.3%
select_dialog,0.0%
calendar,3.3%
text_image,3.3%
continue_button,2.4%
theme,4.5%
homescreen,40.0%
Total,24.4%
