List,dec
text+button,11.1%
popup_with_access,3.3%
text_only,10.0%
open_with,2.2%
text_empty,13.3%
share_with,94.2%
list+on_off,94.3%
advertisement+button,0.0%
image_list,62.2%
popup_date,16.7%
movie,3.3%
menu_list,2.9%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,12.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,6.7%
popup_with_continue_as_name,0.0%
list,17.5%
camera,0.0%
picture,6.7%
popup,6.7%
navigation_menu,28.9%
input_form,10.0%
select_dialog,30.0%
calendar,13.3%
text_image,10.0%
continue_button,9.5%
theme,0.0%
homescreen,0.0%
Total,20.5%
