List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,6.7%
open_with,0.0%
text_empty,6.7%
share_with,84.6%
list+on_off,94.3%
advertisement+button,15.0%
image_list,24.4%
popup_date,50.0%
movie,53.3%
menu_list,11.4%
translate_with_sound,35.3%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,80.0%
list,45.0%
camera,0.0%
picture,53.3%
popup,10.0%
navigation_menu,62.2%
input_form,3.3%
select_dialog,3.3%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,29.9%
