List,dec
text+button,16.7%
popup_with_access,3.3%
text_only,26.7%
open_with,0.0%
text_empty,13.3%
share_with,94.2%
list+on_off,71.4%
advertisement+button,60.0%
image_list,66.7%
popup_date,0.0%
movie,6.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,13.3%
translate,92.0%
image_view,7.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,11.4%
list,17.5%
camera,0.0%
picture,0.0%
popup,3.3%
navigation_menu,13.3%
input_form,6.7%
select_dialog,3.3%
calendar,90.0%
text_image,3.3%
continue_button,11.9%
theme,0.0%
homescreen,20.0%
Total,29.4%
