List,dec
text+button,16.7%
popup_with_access,80.0%
text_only,16.7%
open_with,2.2%
text_empty,3.3%
share_with,84.6%
list+on_off,91.4%
advertisement+button,12.5%
image_list,40.0%
popup_date,0.0%
movie,10.0%
menu_list,40.0%
translate_with_sound,100.0%
IME,10.0%
dialer,6.7%
translate,0.0%
image_view,5.0%
location_selection,76.7%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,10.0%
camera,90.0%
picture,40.0%
popup,6.7%
navigation_menu,62.2%
input_form,13.3%
select_dialog,0.0%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,33.5%
