List,dec
c12,3.3%
c13,91.4%
c18,3.3%
c21,0.0%
c6,0.0%
c3,6.7%
c1,16.7%
c23,21.1%
c5,22.5%
c17,10.0%
c11,71.1%
c2,92.5%
c7,100.0%
c16,3.3%
c15,33.3%
c10,0.0%
c20,2.6%
c14,4.4%
c9,81.8%
c19,94.1%
c22,100.0%
c8,0.0%
c4,0.0%
Total,34.9%
