List,dec
text+button,0.0%
popup_with_access,16.7%
text_only,16.7%
open_with,2.2%
text_empty,3.3%
share_with,80.8%
list+on_off,91.4%
advertisement+button,30.0%
image_list,55.6%
popup_date,0.0%
movie,26.7%
menu_list,77.1%
translate_with_sound,82.4%
IME,0.0%
dialer,0.0%
translate,92.0%
image_view,15.0%
location_selection,60.0%
continue_as_name,75.0%
popup_with_full_screen,14.3%
pinpoint_location,3.3%
popup_with_continue_as_name,74.3%
list,7.5%
camera,20.0%
picture,0.0%
popup,13.3%
navigation_menu,0.0%
input_form,0.0%
select_dialog,30.0%
calendar,0.0%
text_image,10.0%
continue_button,4.8%
theme,36.4%
homescreen,0.0%
Total,29.4%
