List,dec
text+button,16.7%
popup_with_access,80.0%
text_only,20.0%
open_with,0.0%
text_empty,23.3%
share_with,94.2%
list+on_off,94.3%
advertisement+button,85.0%
image_list,64.4%
popup_date,66.7%
movie,33.3%
menu_list,80.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,25.0%
popup_with_full_screen,11.4%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,2.5%
camera,32.5%
picture,0.0%
popup,0.0%
navigation_menu,15.6%
input_form,6.7%
select_dialog,56.7%
calendar,0.0%
text_image,10.0%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,32.8%
