List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,3.3%
open_with,2.2%
text_empty,33.3%
share_with,76.9%
list+on_off,71.4%
advertisement+button,17.5%
image_list,2.2%
popup_date,50.0%
movie,63.3%
menu_list,40.0%
translate_with_sound,100.0%
IME,0.0%
dialer,6.7%
translate,0.0%
image_view,25.0%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,11.4%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,2.5%
camera,55.0%
picture,53.3%
popup,10.0%
navigation_menu,2.2%
input_form,3.3%
select_dialog,53.3%
calendar,0.0%
text_image,13.3%
continue_button,2.4%
theme,77.3%
homescreen,0.0%
Total,32.6%
