List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,33.3%
open_with,55.6%
text_empty,20.0%
share_with,13.5%
list+on_off,94.3%
advertisement+button,12.5%
image_list,64.4%
popup_date,0.0%
movie,63.3%
menu_list,40.0%
translate_with_sound,100.0%
IME,0.0%
dialer,6.7%
translate,28.0%
image_view,2.5%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,80.0%
popup_with_continue_as_name,2.9%
list,2.5%
camera,10.0%
picture,53.3%
popup,33.3%
navigation_menu,6.7%
input_form,0.0%
select_dialog,33.3%
calendar,53.3%
text_image,3.3%
continue_button,11.9%
theme,18.2%
homescreen,0.0%
Total,28.9%
