List,dec
text+button,22.2%
popup_with_access,0.0%
text_only,26.7%
open_with,4.4%
text_empty,6.7%
share_with,94.2%
list+on_off,71.4%
advertisement+button,25.0%
image_list,66.7%
popup_date,0.0%
movie,6.7%
menu_list,82.9%
translate_with_sound,0.0%
IME,0.0%
dialer,13.3%
translate,92.0%
image_view,17.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,5.7%
pinpoint_location,76.7%
popup_with_continue_as_name,11.4%
list,12.5%
camera,2.5%
picture,0.0%
popup,16.7%
navigation_menu,11.1%
input_form,3.3%
select_dialog,53.3%
calendar,90.0%
text_image,3.3%
continue_button,2.4%
theme,0.0%
homescreen,0.0%
Total,28.4%
