List,dec
text+button,22.2%
popup_with_access,0.0%
text_only,26.7%
open_with,0.0%
text_empty,16.7%
share_with,94.2%
list+on_off,68.6%
advertisement+button,25.0%
image_list,64.4%
popup_date,16.7%
movie,63.3%
menu_list,2.9%
translate_with_sound,52.9%
IME,30.0%
dialer,6.7%
translate,92.0%
image_view,17.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,14.3%
pinpoint_location,76.7%
popup_with_continue_as_name,0.0%
list,27.5%
camera,2.5%
picture,0.0%
popup,16.7%
navigation_menu,20.0%
input_form,3.3%
select_dialog,53.3%
calendar,90.0%
text_image,6.7%
continue_button,14.3%
theme,4.5%
homescreen,0.0%
Total,32.3%
