List,dec
text+button,5.6%
popup_with_access,80.0%
text_only,63.3%
open_with,53.3%
text_empty,3.3%
share_with,76.9%
list+on_off,20.0%
advertisement+button,17.5%
image_list,64.4%
popup_date,16.7%
movie,63.3%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,17.5%
location_selection,0.0%
continue_as_name,0.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,80.0%
list,2.5%
camera,0.0%
picture,0.0%
popup,36.7%
navigation_menu,4.4%
input_form,3.3%
select_dialog,56.7%
calendar,0.0%
text_image,6.7%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,30.7%
