List,dec
text+button,16.7%
popup_with_access,0.0%
text_only,6.7%
open_with,0.0%
text_empty,6.7%
share_with,94.2%
list+on_off,71.4%
advertisement+button,72.5%
image_list,66.7%
popup_date,16.7%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,17.5%
location_selection,0.0%
continue_as_name,75.0%
popup_with_full_screen,2.9%
pinpoint_location,76.7%
popup_with_continue_as_name,74.3%
list,20.0%
camera,2.5%
picture,0.0%
popup,10.0%
navigation_menu,2.2%
input_form,10.0%
select_dialog,53.3%
calendar,90.0%
text_image,10.0%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,34.2%
