List,dec
text+button,5.6%
popup_with_access,83.3%
text_only,6.7%
open_with,80.0%
text_empty,23.3%
share_with,80.8%
list+on_off,31.4%
advertisement+button,75.0%
image_list,33.3%
popup_date,0.0%
movie,33.3%
menu_list,37.1%
translate_with_sound,0.0%
IME,10.0%
dialer,13.3%
translate,92.0%
image_view,5.0%
location_selection,3.3%
continue_as_name,0.0%
popup_with_full_screen,11.4%
pinpoint_location,0.0%
popup_with_continue_as_name,77.1%
list,2.5%
camera,92.5%
picture,0.0%
popup,20.0%
navigation_menu,15.6%
input_form,36.7%
select_dialog,23.3%
calendar,80.0%
text_image,3.3%
continue_button,2.4%
theme,18.2%
homescreen,0.0%
Total,35.1%
