List,dec
text+button,5.6%
popup_with_access,0.0%
text_only,10.0%
open_with,6.7%
text_empty,30.0%
share_with,94.2%
list+on_off,91.4%
advertisement+button,87.5%
image_list,64.4%
popup_date,33.3%
movie,6.7%
menu_list,40.0%
translate_with_sound,0.0%
IME,0.0%
dialer,6.7%
translate,92.0%
image_view,2.5%
location_selection,76.7%
continue_as_name,0.0%
popup_with_full_screen,40.0%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,25.0%
camera,2.5%
picture,93.3%
popup,10.0%
navigation_menu,6.7%
input_form,3.3%
select_dialog,23.3%
calendar,6.7%
text_image,16.7%
continue_button,7.1%
theme,0.0%
homescreen,0.0%
Total,29.1%
