List,dec
text+button,11.1%
popup_with_access,80.0%
text_only,56.7%
open_with,0.0%
text_empty,10.0%
share_with,94.2%
list+on_off,11.4%
advertisement+button,85.0%
image_list,66.7%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,52.9%
IME,30.0%
dialer,6.7%
translate,64.0%
image_view,5.0%
location_selection,60.0%
continue_as_name,0.0%
popup_with_full_screen,2.9%
pinpoint_location,3.3%
popup_with_continue_as_name,0.0%
list,2.5%
camera,2.5%
picture,0.0%
popup,40.0%
navigation_menu,4.4%
input_form,16.7%
select_dialog,46.7%
calendar,3.3%
text_image,20.0%
continue_button,4.8%
theme,4.5%
homescreen,0.0%
Total,30.7%
