List,dec
text+button,22.2%
popup_with_access,80.0%
text_only,10.0%
open_with,2.2%
text_empty,16.7%
share_with,94.2%
list+on_off,28.6%
advertisement+button,25.0%
image_list,66.7%
popup_date,0.0%
movie,63.3%
menu_list,82.9%
translate_with_sound,0.0%
IME,20.0%
dialer,26.7%
translate,92.0%
image_view,7.5%
location_selection,3.3%
continue_as_name,75.0%
popup_with_full_screen,8.6%
pinpoint_location,76.7%
popup_with_continue_as_name,5.7%
list,0.0%
camera,2.5%
picture,0.0%
popup,6.7%
navigation_menu,2.2%
input_form,3.3%
select_dialog,3.3%
calendar,0.0%
text_image,3.3%
continue_button,4.8%
theme,0.0%
homescreen,0.0%
Total,26.0%
