List,dec
c12,3.3%
c13,48.6%
c18,3.3%
c21,10.5%
c6,0.0%
c3,6.7%
c1,3.3%
c23,7.9%
c5,7.5%
c17,3.3%
c11,97.8%
c2,20.0%
c7,23.3%
c16,13.3%
c15,3.3%
c10,0.0%
c20,7.9%
c14,17.8%
c9,0.0%
c19,35.3%
c22,8.1%
c8,0.0%
c4,10.0%
Total,16.7%
